TswId,SN,Type,TypeName,LangId,AssetFile,OriginalPngFile,PngFile,Comment,PngExists,Verification,Evidence
1,0,1,char,0,tsw00001_00.pic,tsw00001_00.png,HD-TSW00001-SN00__tsw00001_00.png,543-l,True,embedded_hd_manifest,Recovered from first Zstandard frame of Steam HD tsw_index.ssmod.
1,1,1,char,0,tsw00001_01.pic,tsw00001_01.png,HD-TSW00001-SN01__tsw00001_01.png,,True,embedded_hd_manifest,Recovered from first Zstandard frame of Steam HD tsw_index.ssmod.
1,2,1,char,0,tsw00001_02.pic,tsw00001_02.png,HD-TSW00001-SN02__tsw00001_02.png,,True,embedded_hd_manifest,Recovered from first Zstandard frame of Steam HD tsw_index.ssmod.
1,3,1,char,0,tsw00001_03.pic,tsw00001_03.png,HD-TSW00001-SN03__tsw00001_03.png,,True,embedded_hd_manifest,Recovered from first Zstandard frame of Steam HD tsw_index.ssmod.
3,0,1,char,0,tsw00003_00.pic,tsw00003_00.png,HD-TSW00003-SN00__tsw00003_00.png,543-r,True,embedded_hd_manifest,Recovered from first Zstandard frame of Steam HD tsw_index.ssmod.
3,1,1,char,0,tsw00003_01.pic,tsw00003_01.png,HD-TSW00003-SN01__tsw00003_01.png,,True,embedded_hd_manifest,Recovered from first Zstandard frame of Steam HD tsw_index.ssmod.
3,2,1,char,0,tsw00003_02.pic,tsw00003_02.png,HD-TSW00003-SN02__tsw00003_02.png,,True,embedded_hd_manifest,Recovered from first Zstandard frame of Steam HD tsw_index.ssmod.
3,3,1,char,0,tsw00003_03.pic,tsw00003_03.png,HD-TSW00003-SN03__tsw00003_03.png,,True,embedded_hd_manifest,Recovered from first Zstandard frame of Steam HD tsw_index.ssmod.
4,0,1,char,0,tsw00004_00.pic,tsw00004_00.png,HD-TSW00004-SN00__tsw00004_00.png,fire_24_m,True,embedded_hd_manifest,Recovered from first Zstandard frame of Steam HD tsw_index.ssmod.
5,0,1,char,0,tsw00005_00.pic,tsw00005_00.png,HD-TSW00005-SN00__tsw00005_00.png,fire_24,True,embedded_hd_manifest,Recovered from first Zstandard frame of Steam HD tsw_index.ssmod.
6,0,1,char,0,tsw00006_00.pic,tsw00006_00.png,HD-TSW00006-SN00__tsw00006_00.png,fire_32_m,True,embedded_hd_manifest,Recovered from first Zstandard frame of Steam HD tsw_index.ssmod.
7,0,1,char,0,tsw00007_00.pic,tsw00007_00.png,HD-TSW00007-SN00__tsw00007_00.png,fire_32,True,embedded_hd_manifest,Recovered from first Zstandard frame of Steam HD tsw_index.ssmod.
8,0,1,char,0,tsw00008_00.pic,tsw00008_00.png,HD-TSW00008-SN00__tsw00008_00.png,fire-n,True,embedded_hd_manifest,Recovered from first Zstandard frame of Steam HD tsw_index.ssmod.
14,0,1,char,0,tsw00014_00.pic,tsw00014_00.png,HD-TSW00014-SN00__tsw00014_00.png,115-1,True,embedded_hd_manifest,Recovered from first Zstandard frame of Steam HD tsw_index.ssmod.
14,1,1,char,0,tsw00014_01.pic,tsw00014_01.png,HD-TSW00014-SN01__tsw00014_01.png,,True,embedded_hd_manifest,Recovered from first Zstandard frame of Steam HD tsw_index.ssmod.
14,2,1,char,0,tsw00014_02.pic,tsw00014_02.png,HD-TSW00014-SN02__tsw00014_02.png,,True,embedded_hd_manifest,Recovered from first Zstandard frame of Steam HD tsw_index.ssmod.
14,3,1,char,0,tsw00014_03.pic,tsw00014_03.png,HD-TSW00014-SN03__tsw00014_03.png,,True,embedded_hd_manifest,Recovered from first Zstandard frame of Steam HD tsw_index.ssmod.
14,4,1,char,0,tsw00014_04.pic,tsw00014_04.png,HD-TSW00014-SN04__tsw00014_04.png,,True,embedded_hd_manifest,Recovered from first Zstandard frame of Steam HD tsw_index.ssmod.
14,5,1,char,0,tsw00014_05.pic,tsw00014_05.png,HD-TSW00014-SN05__tsw00014_05.png,,True,embedded_hd_manifest,Recovered from first Zstandard frame of Steam HD tsw_index.ssmod.
