item_id,name,kind,source_file,line,symbol,quantity,enemy_id,drop_rate,limitation
698,諸方神石,remove_item,BattleScript.lua,419,BattleScript.BS70,-1,,,"literal reference only; conditions, repeatability and total supply unresolved"
630,嘉果,remove_item,BattleScript.lua,1886,BattleScript.BS216,-1,,,"literal reference only; conditions, repeatability and total supply unresolved"
621,藥草,add_item,OnEvent.lua,52,OnEvent.GameStart.main,2,,,"literal reference only; conditions, repeatability and total supply unresolved"
730,中國陶器,add_item,OnEvent.lua,53,OnEvent.GameStart.main,1,,,"literal reference only; conditions, repeatability and total supply unresolved"
792,神魔異事錄,add_item,OnEvent.lua,54,OnEvent.GameStart.main,1,,,"literal reference only; conditions, repeatability and total supply unresolved"
402,駱駝,add_item,Scene.lua,510,Scene.TALK3,2,,,"literal reference only; conditions, repeatability and total supply unresolved"
624,無酵餅,chest_reference,Scene.lua,9682,Scene.TALK151,,,,"literal reference only; conditions, repeatability and total supply unresolved"
1019,頭巾,chest_reference,Scene.lua,9686,Scene.TALK152,,,,"literal reference only; conditions, repeatability and total supply unresolved"
501,闊劍,store_listing,Scene.lua,9750,Scene.TALK187,,,,"literal reference only; conditions, repeatability and total supply unresolved"
502,長劍,store_listing,Scene.lua,9750,Scene.TALK187,,,,"literal reference only; conditions, repeatability and total supply unresolved"
503,羽翼劍,store_listing,Scene.lua,9750,Scene.TALK187,,,,"literal reference only; conditions, repeatability and total supply unresolved"
521,短木弓,store_listing,Scene.lua,9750,Scene.TALK187,,,,"literal reference only; conditions, repeatability and total supply unresolved"
851,胸甲,store_listing,Scene.lua,9750,Scene.TALK187,,,,"literal reference only; conditions, repeatability and total supply unresolved"
855,甲冑,store_listing,Scene.lua,9750,Scene.TALK187,,,,"literal reference only; conditions, repeatability and total supply unresolved"
698,諸方神石,chest_reference,Scene.lua,9776,Scene.TALK203,,,,"literal reference only; conditions, repeatability and total supply unresolved"
636,魔法葉,chest_reference,Scene.lua,9781,Scene.TALK204,,,,"literal reference only; conditions, repeatability and total supply unresolved"
636,魔法葉,chest_reference,Scene.lua,9828,Scene.TALK213,,,,"literal reference only; conditions, repeatability and total supply unresolved"
624,無酵餅,chest_reference,Scene.lua,9833,Scene.TALK214,,,,"literal reference only; conditions, repeatability and total supply unresolved"
621,藥草,chest_reference,Scene.lua,9838,Scene.TALK215,,,,"literal reference only; conditions, repeatability and total supply unresolved"
872,皮手套,chest_reference,Scene.lua,9886,Scene.TALK224,,,,"literal reference only; conditions, repeatability and total supply unresolved"
767,珍珠,add_item,Scene.lua,10251,Scene.TALK240,1,,,"literal reference only; conditions, repeatability and total supply unresolved"
624,無酵餅,add_item,Scene.lua,10419,Scene.TALK245,1,,,"literal reference only; conditions, repeatability and total supply unresolved"
1019,頭巾,chest_reference,Scene.lua,10581,Scene.TALK254,,,,"literal reference only; conditions, repeatability and total supply unresolved"
636,魔法葉,chest_reference,Scene.lua,10585,Scene.TALK255,,,,"literal reference only; conditions, repeatability and total supply unresolved"
769,靈界指標,add_item,Scene.lua,10751,Scene.TALK262,1,,,"literal reference only; conditions, repeatability and total supply unresolved"
768,空白符紙,add_item,Scene.lua,10752,Scene.TALK262,1,,,"literal reference only; conditions, repeatability and total supply unresolved"
621,藥草,chest_reference,Scene.lua,10834,Scene.TALK265,,,,"literal reference only; conditions, repeatability and total supply unresolved"
621,藥草,chest_reference,Scene.lua,10842,Scene.TALK267,,,,"literal reference only; conditions, repeatability and total supply unresolved"
503,羽翼劍,add_item,Scene.lua,10862,Scene.TALK268,1,,,"literal reference only; conditions, repeatability and total supply unresolved"
