"item_id","name","level","slot_types","roles","is_unique","discard","add_atk","add_def","add_spd","add_dodge","add_hp","add_mp","add_sp","add_str","add_stamina","add_wis","add_friend","add_special","attack_effect_id","attack_point","attribute_id","wide_range","continuous_turns","affixation_effect","relieve_effect","add_buff","resist_attribute","info_text","help_text"
"8","卡瑪","0","IT_09","","","","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","","0","0","0","0","0","",""
"115","巨蛙","5","IT_10","","","","0","0","0","0","0","0","0","0","0","0","0","0","1","0","9","","0","0","0","0","0","",""
"501","闊劍","27","IT_09","1","","","10","1","0","0","0","0","0","0","0","0","0","8061","128","0","9","","0","0","0","0","0","",""
"502","長劍","29","IT_09","1","","","18","0","0","0","0","0","0","0","0","0","0","8074","163","0","9","","0","0","0","0","0","",""
"503","羽翼劍","32","IT_09","1","","","25","0","3","0","0","0","0","0","0","0","0","8075","164","0","9","","0","0","0","0","0","",""
"504","火燄劍","36","IT_09","1","","","35","3","-2","0","0","0","0","0","0","0","0","8076","87","7","1","","0","0","0","0","0","",""
"505","斷梗","56","IT_09","1","","","128","5","0","0","0","0","0","0","0","0","0","8077","165","20","3","","0","0","0","0","0","",""
"506","赤螫","45","IT_09","1","","","62","0","-5","0","0","0","0","0","0","0","0","8078","157","20","7","","0","0","0","0","0","",""
"507","隴金玉劍","47","IT_09","1","","","68","0","2","0","0","0","0","0","0","0","0","8079","166","0","9","","0","0","0","0","0","",""
"508","月牙劍","42","IT_09","1","","","50","1","2","0","0","0","0","0","0","0","0","8080","167","0","9","","0","0","0","0","0","",""
"509","雪浪劍","50","IT_09","1","","","75","8","0","0","0","0","0","0","0","0","0","8081","168","20","2","","0","0","0","0","0","",""
"510","崙凰劍","51","IT_09","1","","","78","5","0","0","0","0","0","0","0","0","0","8082","169","20","1","","0","0","0","0","0","",""
"511","湛盧","55","IT_09","1","","","100","3","-6","0","0","0","0","0","0","0","0","8083","170","20","7","","0","0","0","0","0","",""
"512","純鈞","64","IT_09","1","","","193","-4","2","1","0","0","0","0","0","0","0","8146","233","0","9","","0","0","0","0","0","",""
"513","勝邪","60","IT_09","1","","","160","0","0","0","0","0","0","0","0","0","0","8147","234","0","9","","0","0","0","0","0","",""
