"item_id","name","level","area","types","roles","price","consumes_item","is_unique","discard","add_hp","add_mp","add_sp","add_str","add_stamina","add_wis","add_spd","add_friend","add_dodge","info_text","help_text"
"669","耶穌聖血","59","1","IT_03","1|2|3|4","200","","","","10","0","0","0","0","0","0","0","0","增加 生命 上限值10點","受耶穌祈福的葡萄酒。"
"670","香柏葉","47","1","IT_03","1|2|3|4","1500","","","","0","0","0","10","0","0","0","0","0","增加 力量 上限值10點","以色列人的聖樹之葉"
"671","豐饒之角","51","1","IT_03","1|2|3|4","800","","","","0","0","50","0","0","0","0","0","0","增加 體力 上限值50點","西方不死山羊(魔羯座)的角。"
"672","神奇麵包","45","1","IT_03","1|2|3|4","500","","","","30","0","0","0","0","0","0","0","0","增加 生命 上限值30點","天界施予人間食用的食物。"
"673","蜜乳樹汁","48","1","IT_03","1|2|3|4","400","","","","0","0","20","0","0","0","0","0","0","增加 體力 上限值20點","蜂王露加上世界樹的新芽的天然產物。"
"674","妖精麥粉","44","1","IT_03","1|2|3|4","400","","","","0","20","0","0","0","0","0","0","0","增加 靈力 上限值20點","小妖精的隨身糧食，吃了它後身體內的靈力潛能會一點一滴的慢慢浮現出來。"
"675","巴丹杏仁","40","1","IT_03","1|2|3|4","800","","","","0","0","0","0","0","0","2","0","0","增加 敏捷 上限值2點","發出奇特的音樂聲，連死人聽了都會跟著起舞。"
"676","歌唱的胡桃","46","1","IT_03","1|2|3|4","2000","","","","0","0","0","0","10","0","0","0","0","增加 耐力 上限值10點","會唱出讓人忘了疲憊的歌聲。"
"677","瑰麗之梨","43","1","IT_03","1|2|3|4","800","","","","0","0","0","0","0","5","0","0","0","增加 智慧 上限值5點","能收藏生物思想的神奇果實。"
"678","魔法精羽","57","1","IT_03","1|2|3|4","1000","","","","0","0","0","0","0","0","3","0","0","增加 敏捷 上限值3點","銀白色鷺鷥的羽毛。"
"679","飛翔魔油","45","1","IT_03","1|2|3|4","1800","","","","0","0","0","0","0","0","5","0","0","增加 敏捷 上限值5點","淨化惡魔後所殘存的油。"
"680","布斯客餅乾","0","0","IT_03","1|2|3|4","0","","","","0","0","0","0","0","0","0","0","0","增加 默契 上限值5％","吃了可以讓戀人更相愛。"
"681","不老之泉水","61","2","IT_03","1|2|3|4","1000","","","","0","0","0","0","5","0","0","0","0","增加 耐力 上限值5點","聖鷲獸沐洗的山泉水。"
"682","春神青果","0","0","IT_03","1|2|3|4","0","","","","0","0","0","0","0","0","0","0","0","增加 默契 上限值10％","天界由青春女神管理的聖果。"
"683","人馬獸之血","63","1","IT_03","1|2|3|4","800","","","","0","0","0","5","0","0","0","0","0","增加 力量 上限值5點","半人馬死後會將體內血液留盡，取在留盡前的最後一壺血。"
"684","黃金蘋果","49","1","IT_03","1|2|3|4","1000","","","","0","50","0","0","0","0","0","0","0","增加 靈力 上限值50點","在西歐每十年的二月均會產的蘋果。"
"685","密茹之水","55","2","IT_03","1|2|3|4","1500","","","","0","0","0","0","0","10","0","0","0","增加 智慧 上限值10點","知識之神特製的泉水。"
"686","里納種子","41","2","IT_03","1|2|3|4","500","","","","0","0","0","0","0","0","1","0","0","增加 敏捷 上限值1點","生長在高山的奇樹種子。"
"687","三葉雪桑果","99","2","IT_03","1|2|3|4","1200","","","","100","0","0","0","0","0","0","0","0","增加 生命 上限值100點","雪寶頂的雪蠶所食桑樹的果實。"
"688","蜂王露","99","2","IT_03","1|2|3|4","1500","","","","0","0","0","10","0","0","0","0","0","增加 力量 上限值10點","搜集百隻蜂王的精華蜜汁。"
"689","活靈芝","99","2","IT_03","1|2|3|4","1200","","","","0","0","100","0","0","0","0","0","0","增加 體力 上限值100點","中國傳說中的千年靈藥之一。"
"690","舍利子","99","2","IT_03","1|2|3|4","1200","","","","0","100","0","0","0","0","0","0","0","增加 靈力 上限值100點","高僧圓寂後留下的結晶，是許多江湖中人想獲得的。"
"691","活骨靈藥","99","2","IT_03","1|2|3|4","1800","","","","30","30","30","0","0","0","0","0","0","增加 生命、體力、靈力 上限值30點","華陀研製的舒筋活血藥。"
"693","玉山佛甲草","99","2","IT_03","1|2|3|4","1200","","","","0","0","0","0","0","10","0","0","0","增加 智慧 上限值10點","一年四季皆能生長的草藥，但只在溫度極低的時候才結果。"
"695","七合龍爪花","99","2","IT_03","1|2|3|4","3000","","","","100","100","100","0","0","0","0","0","0","增加 生命、體力、靈力 上限值100點","聞了之後能將人體所有的機能增強十倍之多，是各方人馬夢寐以求的神奇之花。"
